Cymraeg,Saesneg
adjiwfant,adjuvant
Aberafan,Aberavon
Aberdyfi,Aberdovey
Aberhafesb,Aberhafesp
Abercynffig,Aberkenfig
Aberddawan,Aberthaw
abseilio,abseiling
absoliwt,absolute
achrededig,accredited
aseton,acetone
affasia,aphasia
acwariwm,aquarium
Arabeg,Arabic
adio,add
adfocatiaeth,advocacy
adfocad,advocate
aerobeg,aerobics
affidafid,affidavit
Affganistan,Afghanistan
Affganistanaidd,Afghanistani
Affricanaidd,African
asiant,agent
asiantwyr,agents
agoraffobig,agoraphobic
agronomegydd,agronomist
Albaniaidd,Albanian
alffalffa,alfalfa
algorithmig,algorithmic
alcaloid,alkaloid
alcaloidau,alkaloids
alel,allele
alergen,allergen
alergenig,allergenic
alergenau,allergens
alergedd,allergy
alffa,alpha
alffamerig,alphameric
alffaniwmerig,alphanumeric
amwynder,amenity
amffetaminau,amphetamines
anemia,anaemia
anaerobig,anaerobic
anesthetig,anaesthetic
analog,analogue
angori,anchor
angor,anchor
angorfa,anchorpoint
angorfeydd,anchorpoints
anemoni,anemone
angiogramau,angiograms
angiograffeg,angiography
angioplasteg,angioplasty
animeiddio,animation
animeiddiad,animation
anecs,annex(e)
anodedig,annotated
anodiad,annotation
anod,anode
antena,antenna
anthracs,anthrax
archaeolegydd,archaeologist
archddiacon,archdeacon
archif,archive
archifau,archives
arthropodau,arthropods
Ashcenasi,Ashkenazi
asbaragws,asparagus
asesu,assess
Bwcle,Buckley
Bwda,Buddha
byffer,buffer
byffro,buffer
byg,bug
bygi,buggy
Asturias,Asturia
atacsia,ataxia
atriwm,atrium
awdiolegol,audiological
awdiolegydd,audiologist
awdioleg,audiology
Awstralia,Australia
Awstria,Austria
awdur,author
awdurdodol,authoritative
awdurdod,authority
awto,auto
awtoclaf,autoclave
awtogywiro,autocorrect
awtoffitio,autofit
awtofformat,autoformat
awtolwytho,autoload
awtomatig,automatic
awtomatiaeth,automation
awtobeilot,autopilot
awtodestun,autotext
awtofertigol,autovertical
aseleas,azaleas
bagloriaeth,baccalaureate
brocoli,broccoli
broceriaeth,brokerage
broncitis,bronchitis
broncws,bronchus
bacteremia,bacteraemia
bacterioleg,bacteriology
balans,balance
balast,ballast
Bangladeshaidd,Bangladeshi
banc,bank
baner,banner
barbitwradau,barbiturates
basig,basic
Basel,Basle
bas,bass
Bafaria,Bavaria
Biwmares,Beaumaris
Bugeildy,Beguildy
Belarws,Belarus
Belgrad,Belgrade
Bengaleg,Bengali
Betws,Bettws
bibliotherapi,bibliotherapy
Bil,Bill
biliwn,billion
biocemegol,biochemical
biomas,biomass
biopsi,biopsy
biotechnolegol,biotechnological
biotechnoleg,biotechnology
blacmel,blackmail
Blaenau,Blaina
blanced,blanket
blipio,bleep
blogio,blog
blogiwr,blogger
boeler,boiler
bolws,bolus
brandio,branding
bridio,breed
bridiwr,breeder
Brychdyn,Broughton
brwselosis,brucellosis
Brwsel,Brussels
carafannau,caravans
carbohydrad,carbohydrate
bwlb,bulb
Bwlgaria,Bulgaria
Bwlgaraidd,Bulgarian
Bwlgareg,Bulgarian
bwled,bullet
bwnd,bund
bwrgleriaeth,burglary
Bwrgwyn,Burgundy
bwrsar,bursar
bwrsariaid,bursars
bwrsariaethau,bursarships
bwrsari,bursary
bws,bus
busnes,business
bwtri,buttery
botwm,button
byroffyt,byrophyte
byroffytau,byrophytes
beit,byte
cebl,cable
Caerbwdi,Caerbwdy
Caerllion,Caerleon
Caerffili,Caerphilly
calendr,calendar
camelidau,camelids
camelia,camellia
campws,campus
campylobacterau,campylobacters
camlesi,canals
caneris,canaries
canslo,cancel
canser,cancer
canseraidd,cancerous
canabis,cannabis
canibaliaeth,cannibalism
caprys,capers
carcas,carcass
cardiograffydd,cardiographer
cardiolegydd,cardiologist
cardioleg,cardiology
cardoffisioleg,cardiophysiology
cardiofasgwlaidd,cardiovascular
Caeriw,Carew
cariwr,carrier
cartilag,cartilage
CartoGraffeg,CartoGraphics
castellog,castellated
Catalaneg,Catalan
catalogydd,cataloguer
cathbysgod,catfish
cathbysgodyn,catfish
Cathedin,Cathedine
CGC,CCW
CCGC,CCW
centimetr,centimetre
centimetrau,centimetres
cerameg,ceramics
cangell,chancel
canghellor,chancellor
cominwr,commoner
cominwyr,commoners
caplan,chaplain
cemotherapi,chemotherapy
ceirios,cherries
ciropodydd,chiropodist
Ceiropractydd,Chiropractor
clamydia,chlamydia
colesystectomi,cholecystectomy
cronig,chronic
cronoleg,chronology
cladin,claddings
clir,clear
clercol,clerical
clerigol,clerical
clercod,clerks
clic,click
clicio,click
cleient,client
cleientiaid,clients
clinigydd,clinician
clincer,clinker
clipfwrdd,clipboard
cloch,cloche
databeilot,datapilot
clwstwr,cluster
clystyrau,clusters
cod,code
codio,code
Coedcernyw,Coedkernew
colagen,collagen
coladu,collate
colonosgopi,colonoscopy
colposgopi,colposcopy
coma,comma
Comander,Commander
comisiynydd,commissioner
comisiynwyr,commissioners
cwmwd,commote
comiwn,commune
cymudo,commute
compostadwyedd,compostability
consesiynydd,concessionaire
concordatau,concordats
condomau,condoms
conffeti,confetti
Conamara,Connemara
Cwnstabl,Constable
crac,crack
Crai,Cray
Deon,Dean
confylsiynau,convulsions
copi,copy
copideipio,copytyping
cwrwgl,coracle
Corc,Cork
crwner,coroner
crwneriaid,coroners
coridor,corridor
costeffeithiol,cost-effective
cotwm,cotton
cwnsela,counselling
cwnselydd,counsellor
cwnselwyr,counsellors
Credyd,Credit
credydwr,creditor
credydwyr,creditors
Creta,Crete
Crug,Crick
Crucywel,Crickhowell
Crugion,Criggion
croesfrid,cross bred
democratiaeth,democracy
democrataidd,democratic
Denmarc,Denmark
croesbylu,cross-fade
croesdablu,cross-tabulation
croesfrid,cross-breed
croesbeillio,crosspollination
Crucornau,Crucorney
Creunant,Crynant
cryptosporidiwm,cryptosporidium
CSG,CSGs
ciwbicl,cubicle
cyltifar,cultivar
cyltifarau,cultivars
cwlfert,culvert
cwlfertau,culverts
cyweirio,cure
cyrffyw,curfew
cerrynt,current
cyrchwr,cursor
cwrtil,curtilage
cytleri,cutlery
cypreswydden,cypress
cytogeneteg,cytogenetics
cytoleg,cytology
dablwyr,dabblers
desibel,decibel
dec,deck
diffynnydd,defendant
diffibrilio,defibrillate
diffibriliwr,defibrillator
diffibrilwyr,defibrillators
diffinio,define
Defflectograff,Deflectograph
dibynyddion,dependents
dibrisiant,depreciation
dibrisio,depreciation
dermatoleg,dermatology
disgrifydd,descriptor
disgrifyddion,descriptors
dyfais,device
diagnosteg,diagnostics
deialwr,dialer
deialog,dialog
diathermedd,diathermy
deigastio,die-casting
deiet,diet
digid,digit
digidol,digital
digidoleiddio,digitalise
dimensiwn,dimension
dimensiynu,dimension
Dinorwig,Dinorwic
deuod,diode
deuocsin,dioxin
dipio,dip
difftheria,diphtheria
dwbl,double
Dwrin,Dourine
disg,disk
Diserth,Disserth
dos,dose
drensio,drench
drensio,drenching
drwm,drum
DTwp,DTwP
deuol,dual
Dyffryn,Duffryn
dymi,dummy
dymp,dump
dympio,dump
dwplecs,duplex
dyblygu,duplicate
dyblyg,duplicate
dyblygiad,duplication
dyscalcwlia,dyscalculia
dyslecsia,dyslexia
dysffagia,dysphagia
dysffasia,dysphasia
dysffonia,dysphonia
dyspracsia,dyspraxia
ecocardiogram,echo cardiogram
ecoganolfan,ecocentre
ecolegydd,ecologist
ecoleg,ecology
eGymuned,eCommunity
economi,economy
ecodwristiaeth,ecotourism
ecotocsicoleg,ecotoxicology
ecstasi,ecstasy
ectoparasitiaid,ectoparasites
ewthanasia,euthanasia
ewtroffig,eutrophic
ewtroffeiddio,eutrophicate
ewtroffigedd,eutrophication
electrohadffrydio,electro-ejaculation
electromecaneg,electromechanics
electronig,electronic
elicsir,elixir
embedoleg,embedology
embryoleg,embryology
embryonau,embryos
enillion,emolument
enillion,emoluments
emffysema,emphysema
endemig,endemic
endocrinoleg,endocrinology
endorffinau,endorphins
endosgopi,endoscopy
entrepreneuraidd,entrepreneurial
entrepreneuriaid,entrepreneurs
entrepreneuriaeth,entrepreneurship
ensym,enzyme
epidemig,epidemic
epidemiolegydd,epidemiologist
epidemioleg,epidemiology
epidwral,epidural
epilepsi,epilepsy
episiotomi,episiotomy
ecwiti,equity
Erbistog,Erbistock
ergonomeg,ergonomics
Erwyd,Erwood
eGyrchu,eSourcing
eDendro,eTendering
eDendrau,eTenders
ethnigrwydd,ethnicity
ewro,euro
Ewenni,Ewenny
esemptiad,exemption
fflamio,flame
Fflandrys,Flanders
fflat,flat
Ffarsi,Farsi
ffasgia,fascia
Fflorens,Florence
ffliw,flu
fflworid,fluoride
fflysio,flush
esemptio,exempt
esempt,exempt
esemptiadau,exemptions
estynedig,extended
estyniad,extension
ffacsimili,facsimile
ffactoraidd,factorial
ffug,fake
ffacs,fax
ffebwcsostad,febuxostat
ffenestri,fenestration
ffenigrig,fenugreek
fferal,feral
ffured,ferret
fferrus,ferrous
ffrwythlondeb,fertility
ffibrilio,fibrillate
ffeil,file
Ffilipinaidd,Filipino
ffiled,fillet
ffetws,foetus
ffolad,folate
ffolder,folder
ffont,font
Ffordun,Forden
ffiws,fuse
Galilea,Galilee
fforffedu,forfeit
fformatio,format
fformat,format
fformiwla,formula
fformiwleiddio,formulate
fforwm,forum
fframgipiwr,frame grabber
fframset,frameset
Ffrainc,France
Ffrengig,French
Ffrangeg,French
ffrigad,frigate
galfanedig,galvanised
galfaneiddio,galvanise
galfaneiddiwr,galvaniser
gamet,gamete
garej,garage
garlleg,garlic
gastroenteroleg,gastroenterology
graddwyr,graders
grawn,grain
gram,gramme
grantwr,grantor
grantiau,grants
graffig,graphic
graffigyn,graphic
gelatin,gelatine
generadur,generator
genetegydd,geneticist
geneteg,genetics
Genefa,Geneva
genomeg,genomics
genoteip,genotype
genoteipio,genotype
genws,genus
geomorffoleg,geomorphology
Girona,Gerona
gercynau,gherkins
glawcoma,glaucoma
globaleiddio,globalisation
glwcos,glucose
Glyntarell,Glyn Tarrell
gonorea,gonorrhoea
graffigol,graphical
graffigwaith,graphics
graffeg,graphics
hostelau,hostels
Grysmwnt,Grosmont
grwyn,groyne
gwanaco,guanaco
gwanacos,guanacos
gwestai,guest
gynaecoleg,gynaecology
gypswm,gypsum
haciwr,hacker
haemaglwtinin,haemagluttinin
hematoleg,haematology
hemocromatosis,haemochromatosis
hemoroidau,haemorrhoids
halogenaidd,halogenated
Hambwrg,Hamburg
hangofyr,hangover
Hanofer,Hanover
Hafana,Havana
hectar,hectare
hectarau,hectares
hepatoleg,hepatology
hereditamentau,hereditaments
heterosygaidd,heterozygous
hecs,hex
hecsadegol,hexadecimal
hecsafflworid,hexafluoride
heicio,hike
hurbwrcasu,hire-purchase
hurbwrcas,hire-purchase
histogydnawsedd,histocompatibility
holistaidd,holistic
homoffobig,homophobic
homosygaidd,homozygous
hopys,hops
hosbis,hospice
Hwngaraidd,Hungarian
Hwngari,Hungary
hydroleg,hydraulics
hydrofflworocarbon,hydroflurocarbon
hydrotherapi,hydrotherapy
hyperdestun,hypertext
hypoffaryncs,hypopharynx
hysterectomi,hysterectomy
ilewm,ileum
imiwnogeneteg,immunogenetics
imiwnopatholeg,immunopathology
indemnio,indemnify
indemniad,indemnity
inswleiddio,insulation
inswleiddiad,insulation
inswlin,insulin
integreiddio,integrate
integredig,integrated
Japaneeg,Japanese
Jerwsalem,Jerusalem
infertebrata,invertebrate
Irac,Iraq
Istanbwl,Istanbul
italig,italic
Jwdea,Judaea
Kashmiraidd,Kashmiri
Kosofanaidd,Kosovan
labelu,label
llafur,labour
laparosgopi,laparoscopy
laryngotomi,laryngotomy
laryncs,larynx
Latfia,Latvia
lansio,launch
les,lease
lesio,lease
Lecwydd,Leckwith
lentiselau,lenticels
leptospira,leptospires
Lithiwania,Lithuania
litr,litre
lama,llama
lamas,llamas
Llannarth,Llanarth
Llanbadog,Llanbadoc
Llandaf,Llandaff
Llanddewibrefi,Llanddewi Brefi
Llandochau,Llandough
Llandrindod,Llandrindod Wells
Llanelen,Llanellen
Llangatwg,Llangattock
Llangeinwyr,Llangeinor
Llangelynnin,Llangelynin
Llangynllo,Llangunllo
Llangynnwr,Llangunnor
Llangynyw,Llangyniew
Llanhenwg,Llanhennock
letys,lettuce
lewcemia,leukaemia
lefi,levy
lili,lily
leinars,liners
lipas,lipase
Llanhiledd,Llanhilleth
Llanisien,Llanishen
Llanllwchaearn,Llanllwchaiarn
Llanmadog,Llanmadoc
Llanefydd,Llannefydd
Llanofer,Llanover
Llanrhymni,Llanrumney
Llanwrtyd,Llanwrtyd Wells
Llai,Llay
Lletybrongu,Lletty Brongu
Luzern,Lucerne
llerciwr,lurker
lwcs,lux
Lwcsembwrg,Luxembourg
lymffoedema,lymphoedema
macrogell,macrocell
madrona,madrone
locwm,locum
loteri,lottery
Magwyr,Magor
Mamheilad,Mamhilad
mamogram,mammogram
mamograffeg,mammography
mangls,mangels
mapio,map
metaffeil,metafile
methadon,methadone
methamffetamin,methamphetamine
methan,methane
marc,mark
marciwr,marker
marcwyr,markers
maro,marrow
Marseille,Marseilles
masectomi,masectomy
massiff,massif
meistr,master
meistrddogfen,master document
meistrsleid,master slide
meistrolwg,master view
Meistrolaeth,Mastery
matsys,matches
metron,matron
Mater,Matter
meddyginiaeth,medicine
meddyginiaethau,medicines
memorandwm,memorandum
menopos,menopause
mentora,mentoring
Mercher,Mercury
mercwri,mercury
mesenteri,mesentery
metr,metre
Mecsico,Mexico
microfenter,micro venture
microfentrau,micro ventures
microflogio,micro-blogging
microsglodynnu,microchipping
microgrant,micro-grant
microgerdyn,microcard
microgelloedd,microcells
microsglodyn,microchip
microgylched,microcircuit
microgod,microcode
microgyfrifiadur,microcomputer
microffilm,microfilm
microgynhyrchu,microgeneration
microffon,microphone
microbrosesydd,microprocessor
microdechnoleg,microtechnology
meigryn,migraine
mililitr,millilitre
mililitrau,millilitres
milimetr,millimetre
milimetrau,millimetres
minc,mink
minws,minus
modd,mode
modiwlar,modular
modiwleiddio,modulation
modiwl,module
Moldofa,Moldova
monitro,monitor
Montenegroaidd,Montenegran
morbidrwydd,morbidity
morffoleg,morphology
morter,mortar
morteri,mortars
mortiwari,mortuary
mosg,mosque
mwnt,motte
Mwslim,Muslim
Mwslimaidd,Muslim
Mwslimiaid,Muslims
mwstard,mustard
mwtadu,mutate
mycotocsin,mycotoxin
mycotocsinau,mycotoxins
nanotechnoleg,nanotechnology
nasoffaryncs,nasopharynx
naturiolaidd,naturalist
niwroleg,neurology
niwropatholeg,neuropathology
niwroffisioleg,neurophysiology
niwroradioleg,neuroradiology
niwrofasgwlaidd,neurovascular
Niwbwrch,Newborough
niwclid,nuclide
nyrs,nurse
nyrsys,nurses
necrotig,necrotic
nematodau,nematode worms
neonatoleg,neonatology
neoplasmau,neoplasms
nicel,nickel
Normandi,Normandy
norofeirws,norovirus
Norwy,Norway
optometrig,optometric
optometrydd,optometrist
optometreg,optometry
optroneg,optronics
orbitol,orbital
ordinhad,ordinance
ordinhadau,ordinances
pilastr,pilaster
Pilgwenlli,Pilgwenlly
piblinellau,pipelines
obstetreg,obstetrics
oesoffagws,oesophagus
pedigri,pedigree
Olympaidd,Olympic
Ombwdsmon,Ombudsman
Onnen,Onen
offthalmig,ophthalmic
offthalmoleg,ophthalmology
optoelectroneg,optoelectronics
organig,organic
organoffosfforws,organophosphorus
oroffaryncs,oropharynx
orthodonteg,orthodontics
orthopedeg,orthopaedics
orthopteg,orthoptics
orthoptydd,orthoptist
orthotydd,orthotist
ofa,ova
ofari,ovary
ofidectomi,ovidectomy
ofwm,ovum
pediatregydd,paediatrician
pediatreg,paediatrics
Pacistan,Pakistan
Pacistanaidd,Pakistani
palanteip,palantype
palanteipydd,palantypist
Palesteina,Palestine
palet,palette
pandemig,pandemic
paragleidio,paragliding
paragraff,paragraph
paragraffu,paragraph
Paralympaidd,Paralympic
parlys,paralysis
paramycsofeirws,paramyxovirus
paraseit,parasite
paraseitiaid,parasites
parasitig,parasitic
parasitoleg,parasitology
partneriaeth,partnership
pasbort,passport
pasbortau,passports
pasteureiddio,pasteurisation
pats,patch
patentau,patents
pathogenig,pathogenic
pathogenedd,pathogenicity
patholegydd,pathologist
patholeg,pathology
Penfro,Pembroke
Pentywyn,Pendine
perfflworocarbon,perflurocarbon
perfformiad,performance
periodontol,peridontal
perifferolyn,peripheral
perifferoldeb,peripherality
personol,personal
pertwsis,pertussis
petrocemegol,petrochemical
picogelloedd,picocells
pithio,pith
picsel,pixel
plantanau,plantains
plac,plaque
platfform,platform
plotio,plot
plwg,plug
plygiau,plugs
podiatrydd,podiatrist
podiatreg,podiatry
poinsetia,poinsettia
poinsetias,poinsettias
pwyntio,point
pwynt,point
Pwyleg,Polish
Polynesaidd,Polynesian
popgorn,popcorn
porth,port
porthol,portal
portholion,portals
porthcwlis,portcullis
porthor,porter
portread,portrait
Portiwgal,Portugal
Portiwgeaidd,Portuguese
Portiwgaleg,Portuguese
postio,post
Prag,Prague
praesept,precept
praeseptau,precepts
premiwm,premium
premiymau,premiums
presgripsiwn,prescription
presgripsiynau,prescriptions
proses,process
prosesu,process
prosesydd,processor
proclamasiwn,proclamation
proffilio,profiling
prosiect,project
prosbectws,prospectus
prosbectysau,prospectuses
prostad,prostate
prosthetydd,prosthetist
proteinau,proteins
protocolau,protocols
pwerperiwm,puerperium
Pwnjabeg,Punjabi
rheiddiaduron,radiators
radiograffydd,radiographer
radioleg,radiology
radiofferylliaeth,radiopharmacy
radis,radish
Radur,Radyr
rectwm,rectum
refferendwm,referendum
Rasa,Rassau
ratid,ratite
ratan,rattan
rendro,rendering
Resolfen,Resolven
refeniw,revenue
rhewmatoleg,rheumatology
Rhiwbeina,Rhiwbina
rhisom,rhizome
Rhosili,Rhossili
riboteip,ribotype
Rhisga,Risca
rhybed,rivet
rwbela,rubella
Rhydri,Rudry
sgrin,screen
sgript,script
sgrolio,scroll
Rhuthun,Ruthin
sacrwm,sacrum
salmonela,salmonella
sampl,sample
samplu,sample
samplwr,sampler
samplwyr,samplers
samplau,samples
sgaffaldwaith,scaffolding
sgaffaldiau,scaffolding
sganio,scan
Sgandinafaidd,Scandinavian
sganiwr,scanner
sgwter,scooter
secondai,secondee
segmentu,segment
Senghennydd,Senghenydd
sentineliaid,sentinels
Seffardi,Sephardi
seronegyddol,seronegative
serobositif,seropositive
Sgiwen,Skewen
strategaeth,strategy
siop,shop
Sisili,Sicily
seidins,sidings
sifft,sift
signalau,signals
seilo,silo
seilos,silos
Sinhalesaidd,Sinhalese
sintro,sintering
seiffon,siphon
Sirhywi,Sirhowy
sleid,slide
Slofacia,Slovakia
Slofacaidd,Slovakian
Slofenia,Slovenia
Slofenaidd,Slovenian
slyri,slurry
smwddi,smoothie
smwddis,smoothies
soced,socket
socedu,socket
sorgwm,sorghum
sba,spa
Sbaen,Spain
sbamio,spam
sbam,spam
Sbaeneg,Spanish
sborangia,sporangia
sborangiwm,sporangium
stondin,stand
standiau,stands
statinau,statins
StatsCymru,StatsWales
statud,statute
statudol,statutory
sterileiddio,sterilise
sterlediaid,sterlet
stiward,steward
stiwardiaid,stewards
stiwardiaeth,stewardship
stocbrocer,stockbroker
stocbroceriaid,stockbrokers
stocmon,stockman
Strasbwrg,Strasbourg
strydlun,streetscape
strycnin,strychnine
stynio,stun
styrsiynod,sturgeon
stwrsiwn,sturgeon
switsfwrdd,switchboard
sybsidiaredd,subsidiarity
SDCau,SuDS
Sili,Sully
sylffwr,sulphur
syrffio,surf
syrfewyr,surveyors
symbolau,symbol
symposiwm,symposium
synergyddol,synergistic
siffilis,syphilis
seiffon,syphon
tabl,table
tagio,tag
talentau,talents
tapr,taper
technegwyr,technicians
teleffonydd,telephonist
templed,template
tenantir,tenanted land
teras,terrace
tetanws,tetanus
tecstio,text
Tecstilau,Textiles
thalasaemia,thalassaemia
thermomedrau,thermometers
thesawrws,thesaurus
Thesalonica,Thessalonica
thorasig,thoracic
thoracotomi,thoracotomy
thoracs,thorax
Tocsicoleg,Toxicology
Tyndyrn,Tintern
teitl,title
tybaco,tobacco
togl,toggle
toglo,toggle
tonsiliau,tonsils
topograffi,topography
tracea,trachea
trac,track
traffig,traffic
transbonder,transponder
trawma,trauma
treillio,trawl
trysorydd,treasurer
trysoryddion,treasurers
Trecati,Trecatti
Trefddyn,Trefethin
Trefforest,Treforest
Tryleg,Treleck
Treorci,Treorchy
triathletwr,triathlete
triphlyg,triple
trolio,troll
tswnami,tsunami
tswnamig,tsunamic
twbercwlin,tuberculin
twbercwlosis,tuberculosis
tiwlip,tulip
tiwmor,tumour
twnnel,tunnel
torbytiaid,turbot
torbwt,turbot
Twrci,Turkey
Tyrceg,Turkish
Twsgani,Tuscany
teip,type
teipio,type
teip,type
teiposod,typeset
teiffon,typhon
teipograffyddol,typographical
teiar,tyre
teiars,tyres
Ukrain,Ukraine
UNSAIN,UNISON
Waunfelin,Wainfelin
walblat,wall plate
Wrecsam,Wrexham
embeslu,embezzlement
jiwt,jute
pandemigau,pandemics
pelosolau,pelosols
bowldro,bouldering
dis,dice
sgwosh,squash
mater,matter
Mesur,Measure
oestrogenau,oestrogens
testosteron,testosterone
tendro,tender
tendr,tender
Duges,Duchess
Dug,Duke
enseffalitis,encephalitis
parenterol,parenteral
rotofetio,rotovate
rowlio,roll
rowler,roller
trysorlys,treasury
emwlsiwn,emulsion
anoestrws,anoestrus
perai,perry
Bensodiasepinau,Benzodiazepines
cwtsh,cwtch
hemodialysis,haemodialysis
profforma,proforma
procsis,proxies
procsi,proxy
pwnsh,punch
caecostomi,caecostomy
colostomi,colostomy
ffistwla,fistula
hypoadrenaledd,hypoadrenalism
hypoparathyroidedd,hypoparathyroidism
hypobitwidedd,hypopituitarism
ileostomi,ileostomy
neonatolegydd,neonatologist
cymudwr,commuter
electrodechnegol,electrotechnical
Rwmania,Romania
sgiliaucymru,skillscymru
meffedron,mephedrone
lobi,lobby
pantri,pantry
electroneg,electronics
caotig,chaotic
interniaeth,internship
interniaethau,internships
interniaid,interns
cwricwla,curricula
Gaiana,Guyana
sgep,skep
hydrolig,hydraulic
achredu,accreditation
cwricwlwm,curriculum
microfusnes,micro-business
amniosentesis,amniocentesis
sbirometreg,spirometry
stadiwm,stadium
smyglwr,smuggler
nanometr,nanometre
stablu,stable
refferenda,referendums
refferenda,referenda
bae,bay
corun,crown
sesnin,seasoning
sgiwer,skewer
carsinogenaidd,carcinogenic
demograffeg,demographics
recriwtio,recruitment
Elisabethaidd,Elizabethan
anthrasen,anthracene
atrasin,atrazine
bensen,benzene
clorfenvinffos,chlorfenvinphos
clorpyrifos,chlorpyrifos
deucloromethan,dichloromethane
deuwron,diuron
endosylffan,endosulfan
fflworanthen,fluoranthene
hecsaclorobensen,hexachlorobenzene
hecsacloroseiclohecsan,hexachlorocyclohexane
isoprotwron,isoproturon
naffthalen,naphthalene
nonylffenolau,nonylphenols
octylffenol,octylphenol
pentaclorobensen,pentachlorobenzene
pentacloroffenol,pentachlorophenol
simasin,simazine
tribiwtyltin,tributyltin
triclorobensen,trichlorobenzene
tricloromethan,trichloromethane
trifflwralin,trifluralin
ffedereiddio,federate
hadog,haddock
sbatwla,spatula
llac,lax
pasio,pass
biobancio,biobanking
tacycardia,tachycardia
bympars,bumpers
offthalmolegydd,ophthalmologist
anestheteg,anaesthetics
broncosgopi,bronchoscopy
tacograff,tachograph
estradoddadwy,extraditable
absenoliaeth,absenteeism
bioblastigau,bioplastics
niwroplastigedd,neuroplasticity
lagomorffiaid,lagomorphs
presenoliaeth,presenteeism
tryffls,truffles
Anatomeg,Anatomy
ffedereiddio,federation
catalog,catalogue
monograff,monograph
platfform,platform
terabeit,terabyte
biocemeg,biochemistry
imiwnoleg,immunology
byrgyr,burger
byrgers,burgers
methodolegwyr,methodologists
rowndabowt,roundabout
rowndabowts,roundabouts
stereoteip,stereotype
remandio,remand
Brownis,Brownies
ciwbicl,cubicle
Pillgwenlli,Pillgwenlly
macrell,mackerel
mecryll,mackerel
tiwna,tuna
botanegol,botanical
broceru,broker
stelcio,stalk
stelciwr,stalker
microffurfiau,microforms
proffesiynoli,professionalise
stumog,stomach
endosgopig,endoscopic
gastroberfeddol,gastrointestinal
platmedr,platemeter
telegynadledda,teleconferencing
lycopen,lycopene
bacteriwm,bacterium
hemoffilia,haemophilia
Llanllywel,Llanllowell
Bace,Backe
omnibws,omnibus
setio,set
blendiwr,blender
microfragdy,micro brewery
hosbisau,hospices
calsiwm,calcium
metrigau,metrics
bioffilm,biofilm
anemomedr,anemometer
anemomedrau,anemometers
secwestru,sequestrate
afflatocsin,aflatoxin
afflatocsinau,aflatoxins
alcoholaidd,alcoholic
alcoholig,alcoholic
anaffylacsis,anaphylaxis
carsinogen,carcinogen
colostrwm,colostrum
ecsema,eczema
emylsydd,emulsifier
epidemiolegaidd,epidemiological
monoganolog,monocentric
byndio,bund
hydradu,hydration
hydrogenu,hydrogenation
octopws,octopus
patentadwyedd,patentability
hyperleol,hyperlocal
personoli,personalisation
glos,gloss
glosio,gloss
bywgraffiad,biography
maer,mayor
hoci,hoki
sgipjac,skipjack tuna
enamlo,enamel
silicad,silicate
ffeilio,file
ffroteisio,frottage
apeliadol,appellate
briff,brief
teneuo,thin
orthodontig,orthodontic
rifolfer,revolver
arestio,arrest
arestiad,arrest
teiffoid,typhoid
bigami,bigamy
blacmelio,blackmail
blacmeliwr,blackmailer
clerc,clerk
codisil,codicil
croeshawliad,cross claim
difenwad,defamation
difenwi,defame
dibynnydd,dependent
domisil,domicile
ecsbloetio,exploit
ecsbloetiaeth,exploitation
fforffediad,forfeiture
stopfalf,stopvalve
staplen,staple
trendio,trending
bor,bore
piliwn,pillion
reiffl,rifle
awtoclafio,autoclave
Plismona,Policing
recriwtio,recruit
recriwtiad,recruit
pwdlo,puddle
siltio,silt
seiffno,siphon
cwrs,course
Brynaman,Brynamman
sterileiddio,sterilisation
androgynaidd,androgynous
ffrond,frond
ColegauCymru,CollegesWales
tascsonomeg,taxonomy
baffl,baffle
bambw,bamboo
stoc,stock
styd,stud
Bryste,Bristol
Llundain,London
Llwydlo,Ludlow
arteffact,artefact
curadu,curate
deifio,dive
mesolithig,mesolithic
neolithig,neolithic
palaeolithig,palaeolithic
caffein,caffeine
naratif,narrative
colocwiwm,colloquium
ap,app
ABeC,ABC
biotig,biotic
plagioclimacs,plagioclimax
haloffytig,halophytic
clorin,chlorine
cathetr,catheter
secwestriad,sequestration
riff,reef
padlwr,paddler
crofftwr,crofter
sgrwbio,scrub
hemicraniectomi,hemicraniectomy
smac,smack
smacio,smack
inswleiddio,insulate
combein,combine harvester
ffliw,flue
stenotig,stenotic
niwrobioleg,neurobiology
niwrobiolegydd,neurobiologist
batoleg,batology
septisemia,septicaemia
iteriad,iteration
electrosymudedd,electromobility
Meisgyn,Miskin
declarasiwn,declaration
sgidiwr,skidder
cambr,camber
poced,pocket
pwli,pulley
rabed,rebate
